"gene.id" "hgnc_symbol" "chromosome_name" "logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000206503" "ENSG00000206503" "HLA-A" "6" -2.26936688373857 4.83847641009713 109.478151473791 1.27502176209737e-25 2.20170757878974e-21
"ENSG00000269688" "ENSG00000269688" "" "19" 2.49258400754732 1.09358482719717 105.477845045222 9.59648776809863e-25 8.28560753897635e-21
"ENSG00000237719" "ENSG00000237719" "" "6" 1.40031047306844 1.0643756445944 53.4990167338059 2.58722292654826e-13 1.48920551652118e-09
"ENSG00000228955" "ENSG00000228955" "" "1" 3.64052773916104 -2.02751799017306 39.2633389190603 3.70329755113631e-10 1.59871355282554e-06
"ENSG00000272990" "ENSG00000272990" "" "3" 2.26307374041048 -0.999920368086191 36.3487444711395 1.64985459241639e-09 5.69793782036924e-06
"ENSG00000162852" "ENSG00000162852" "CNST" "1" 0.411228779729249 5.09258307825785 31.7355961292943 1.7665455167424e-08 5.08411799718463e-05
"ENSG00000145833" "ENSG00000145833" "DDX46" "5" -0.344634360841994 7.82263291324539 23.7597408248829 1.0914161066853e-06 0.00269236761860596
"ENSG00000128590" "ENSG00000128590" "DNAJB9" "7" -0.605995845791997 4.81492441076435 21.0522571676657 4.46926057295808e-06 0.00964689894673002
"ENSG00000129128" "ENSG00000129128" "SPCS3" "4" -0.293355473452215 7.59310842628884 20.8066489639784 5.08062731605705e-06 0.0097480302770748
"ENSG00000092295" "ENSG00000092295" "TGM1" "14" 0.929999361503543 1.21871324433981 20.4114247558417 6.24558245590364e-06 0.0107848717848544
"ENSG00000251667" "ENSG00000251667" "BRCC3P1" "5" 2.41618810132189 -0.180475293052552 19.5110090038939 1.00021568366897e-05 0.0157015676596326
"ENSG00000198416" "ENSG00000198416" "ZNF658B" "9" 1.99082585977517 -1.66954126813637 18.823868623233 1.43361764440506e-05 0.0206297579029888
"ENSG00000236255" "ENSG00000236255" "" "2" 0.959405033438377 1.61904451700474 16.7339100032598 4.30054221672996e-05 0.0571244330757638
"ENSG00000108602" "ENSG00000108602" "ALDH3A1" "17" -0.847932311859107 2.00304684529294 16.0691810833963 6.10698680001376e-05 0.0753253200447411
"ENSG00000117318" "ENSG00000117318" "ID3" "1" -0.888399100730028 2.01633412933654 15.8369997002073 6.90392156803491e-05 0.0777184230391905
"ENSG00000137331" "ENSG00000137331" "IER3" "6" 1.36867287088242 -1.31482930121646 15.757247996052 7.20115108076818e-05 0.0777184230391905
"ENSG00000237015" "ENSG00000237015" "" "22" 1.25520617959763 -0.499931053446689 15.5975079650439 7.83577919191183e-05 0.0795930794623138
"ENSG00000104081" "ENSG00000104081" "BMF" "15" 0.401002408777218 3.60994468943441 15.2000593586299 9.67003809515405e-05 0.0927678987928445
"ENSG00000130307" "ENSG00000130307" "USHBP1" "19" 1.25188471242899 -0.582844101908435 14.1319631493932 0.000170423243345905 0.154887819268268
"ENSG00000156171" "ENSG00000156171" "DRAM2" "1" -0.300802168777195 4.93012950391313 13.7159237174265 0.000212643883053497 0.180001400897489
"ENSG00000162604" "ENSG00000162604" "TM2D1" "1" -0.340004544080196 4.46022933153024 13.6614386575937 0.000218903718951081 0.180001400897489
"ENSG00000181019" "ENSG00000181019" "NQO1" "16" -0.325864619314629 8.48386962978442 13.5441031367385 0.000233022401007979 0.182901400936626
"ENSG00000062282" "ENSG00000062282" "DGAT2" "11" 0.38331339387673 4.16821403813561 13.2012852238496 0.000279757203201953 0.210036842821362
"ENSG00000254589" "ENSG00000254589" "EIF4A2P3" "11" 1.54922778728044 -1.15722168026308 13.1198859090288 0.000292177827117479 0.210221946611026
"ENSG00000167632" "ENSG00000167632" "TRAPPC9" "8" -0.459778550519217 3.65762224810535 12.8424518983091 0.000338843317382737 0.234045856182604
"ENSG00000100442" "ENSG00000100442" "FKBP3" "14" -0.26618395250259 5.74580301812298 12.5250683377535 0.000401528212724117 0.257605011189309
"ENSG00000151012" "ENSG00000151012" "SLC7A11" "4" -0.466641678665413 7.55165546301339 12.5192175047588 0.000402787543555209 0.257605011189309
"ENSG00000180336" "ENSG00000180336" "MEIOC" "17" 0.726534366915114 0.547196956362111 12.4158691260895 0.00042570084454481 0.262535792271421
"ENSG00000168386" "ENSG00000168386" "FILIP1L" "3" 0.320652419427111 4.68140088550513 12.3170260823471 0.00044884524473184 0.267264127104463
"ENSG00000101306" "ENSG00000101306" "MYLK2" "20" 0.976467750814956 -0.0243620638823859 12.2321538374607 0.000469729426285935 0.270376257770184
"ENSG00000263934" "ENSG00000263934" "SNORD3A" "17" 1.3990364161652 -1.14428519466592 11.8734744813436 0.000569390893382599 0.317169095062281
"ENSG00000030066" "ENSG00000030066" "NUP160" "11" 0.243785527976938 7.25381892695562 11.6540841089957 0.000640617365971339 0.345693146112284
"ENSG00000118596" "ENSG00000118596" "SLC16A7" "12" -0.380375243736949 4.93205984602816 11.4821749714902 0.000702668516353306 0.367687270920875
"ENSG00000259015" "ENSG00000259015" "" "14" 0.930190548737605 -0.344713575274985 11.365464080078 0.00074822379618362 0.371060146049238
