"Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_24D","R2_24D","R3_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R5_72M","R6_72M"
"LN_000001","DAG 36:1",681.5696261,"2.7292","-0.0073","[M+AcOH-H]-",NA,"C39H74O5","622.553625","Diacylglycerol","18:0/18:1 | 16:0/20:1",470037,2413188,1914423,3271794,758059.1,543047.9,1988954,3063453,2482512,2808860,1143105,4053499,5777358,4092699,5094956,966221,3192778,6209781,4967467,4578914,1768357,7265687,6850403,5920479,6317454,1504500,6844968,6210919,5454296,6488236
"LN_000007","DAG 36:2",679.5527022,"1.5042","0.0085","[M+AcOH-H]-",NA,"C39H72O5","620.537975","Diacylglycerol","18:1/18:1 | 16:0/20:2 | 18:0/18:2",141219,908437,628773,965961,1212028,179427,586929,1111161,780396,922839,325676,1293272,1586238,1146144,1621738,335613,906953,1785871,1826142,1748163,505235,1996428,1650444,1804984,2485262,444688,2061297,1500871,1740960,2232789
"LN_000194","FA 17:1",267.2330319,"-0.4232","-0.0079","[M-H]-",NA,"C17H32O2","268.240231","Fatty Acid",NA,80601,766749,519165,604360,329734,111727,548414,974447,465275,407410,160227,874376,1610946,344121,377602,155918,565770,1629895,639986,334623,248400,1668515,1655751,403725,545260,267577,1258671,1410954,399682,316770
"LN_000200","FA 19:1",295.2643645,"0.6114","-0.0248","[M-H]-",NA,"C19H36O2","296.271531","Fatty Acid",NA,143732,1250258,888833,1223669,680341,175967,931267,1516090,890031,686114,281090,1298663,2473835,735512,687987,254653,1004352,2519820,1107103,705021,434155,2461326,2375410,983560,948074,452833,2213486,2136183,894798,725143
"LN_000206","FA 23:0",353.3421259,"-0.4586","-0.0463","[M-H]-","Tricosanoic acid","C23H46O2","354.349781","Fatty Acid",NA,123137,410526,273580,490124,624085,157695,304997,473624,425492,493062,141780,434150,704703,652954,818116,169133,377641,903651,816289,902945,204578,704826,936836,973590,807968,267462,711443,969838,1019991,1137457
"LN_000212","FA 25:0",381.3735092,"-2.3226","-0.0241","[M-H]-","Pentacosanoic acid","C25H50O2","382.381081","Fatty Acid",NA,60296,235393,176429,244749,247603,72261.17,199653,287914,239800,161017,97790,251379,436031,327991,313280,103635,239480,457045,427979,326312,133662,403124,531797,382769,316300,154442,380132,450527,407324,400682
"LN_000218","FA 25:1",379.3575891,"-0.4717","-0.0239","[M-H]-",NA,"C25H48O2","380.365431","Fatty Acid",NA,84583,497384,326132,714198,695806,94672,348268,535860,543260,574434,197116,568077,1104739,791733,711789,201154,464773,1136754,929482,814873,246754,733144,1092952,755478,487206,276942,774889,989078,795504,780800
"LN_000224","FA 26:0",395.3889151,"-1.024","-0.0225","[M-H]-","Hexacosanoic acid","C26H52O2","396.396731","Fatty Acid",NA,732023,2694658,2029000,3567922,3766776,827745,2812628,3417033,3061727,2736033,1355994,4235572,8412525,6822737,5606054,1343545,4115027,8318331,6960590,6499581,2025043,9979029,12014676,8466550,6257102,2193083,8158218,9544578,9039021,9007932
"LN_000230","FA 26:1",393.3735216,"-0.7611","-0.012","[M-H]-",NA,"C26H50O2","394.381081","Fatty Acid",NA,384753,2010866,1366061,3064008,2392912,415754,1643873,1944791,2298037,2106515,783903,2397405,4209749,3560938,3179087,739369,1987218,3712580,4586696,3059575,1053285,3069558,4105673,3616382,2157716,1026138,3659311,3984150,3470576,3376116
"LN_000254","LysoPE 18:1",478.2945543,"1.2761","-0.0045","[M-H]-",NA,"C23H46NO7P","479.30119","Lyso Phosphatidylethanolamine",NA,67188,184197,116609,84983,153423,76829,103920,240735,52297.12,163143,98335,191383,395224,70093,276570,71424,150152,396326,129468,230422,175906,325990,595305,368600,148025,134883,665856,519144,287661,422712
"LN_000259","MGDG 32:0",789.5738591,"-0.4406","0.0352","[M+AcOH-H]-",NA,"C41H78O10","730.5595","Monogalactosyldiacylglycerol",NA,140698,262617,212279,451049,528134,150993,242476,328572,303024,408174,223283,275630,404245,443211,634872,216500,308514,457088,413491,687300,284040,546873,675289,856087,510148,230477,729493,526049,828040,976444
"LN_000301","MGDG 34:1",815.5893136,"-0.0397","-0.0146","[M+AcOH-H]-",NA,"C43H80O10","756.575151","Monogalactosyldiacylglycerol",NA,67288.49,229259,191657,412070,409433,66390,193160,252428,227528,427371,124723,290374,454018,251768,524398,106464,268898,410709,282054,509239,163872,346721,463824,610281,319687,149556,589563,549547,457807,564112
"LN_000764","PG 34:1",747.5182538,"0.3101","0.0434","[M-H]-",NA,"C40H77O10P","748.525437","Phosphatidylglycerol",NA,1830574,5396671,3600751,6229172,1918558,1813845,3556313,4433928,3828710,6807035,2452237,3574151,6808994,3255898,9065953,1529819,3130317,6021634,4155104,6935959,2711182,2653099,8145035,10694733,2763088,1990508,8624517,6528687,6842338,6046897
"LN_000788","PG 36:1",775.5486282,"0.2788","0.0491","[M-H]-",NA,"C42H81O10P","776.556737","Phosphatidylglycerol","18:0/18:1",1168484,2811988,1866021,2958337,2581574,1038821,1963057,2224458,1791475,3114052,1263327,1628796,3096081,2274917,4277536,756556,1628766,3048372,2394623,2708677,1503696,1255535,3558637,5613402,955396.3,906205,3421315,3476624,3972425,4153088
"LN_001333","SM 34:0",763.597652,"1.5022","-0.011","[M+AcOH-H]-",NA,"C39H81N2O6P","704.583226","Sphyngomyelin",NA,1776924,4375486,3647956,6147513,7856868,1740376,3505383,4903290,4203421,6384340,3082561,6545735,7147920,5805876,9282434,1949859,4506766,6040406,4636996,7910516,4765460,6543815,7667181,8024739,5327523,2397527,6170886,5874653,7018111,9434374
"LN_001477","DAG 34:1",653.5370984,"0.9095","-0.0027","[M+AcOH-H]-",NA,"C37H70O5","594.522325","Diacylglycerol","16:0/18:1",337409,1587443,1269508,1853894,2672659,378490,1055846,1978150,1702664,2401453,605784,2343260,2631440,2378112,3240757,545500,1746997,3531085,3369830,3384211,922367,3754868,3420230,3589521,4971091,907855,3357026,3232992,3849663,4222324
"LN_001483","DAG 34:2",651.5212705,"0.4381","0.0093","[M+AcOH-H]-",NA,"C37H68O5","592.506675","Diacylglycerol","16:0/18:2 | 16:1/18:1",65633.12,257002,178254,255798,371341,81646.89,168047,289485,199648,359584,82746,288149,390879,256580,396950,69317,217341,345539,403078,362001,116628,343280,394798,378650,393953,127702,334922,323291,259165,322318
"LN_001543","DAG 42:1",765.661727,"-0.0366","-0.0011","[M+AcOH-H]-",NA,"C45H86O5","706.647525","Diacylglycerol",NA,82034,519506,341247,563070,544619,109326,363113,593307,360853,502984,185809,687773,1300214,640140,1144622,162613,541987,1348464,990945,882791,262570,527075,1135954,870678,716893,244574,925029,1272099,1000386,1002808
"LN_002606","Gondoic Acid (FA 20:1)",309.279939,"-0.2166","-0.0174","[M-H]-","(11Z)-Eicosenoic acid|11-Eicosenoic acid|Eicosenoic acid|(Z)-Eicos-11-enoic acid","C20H38O2","310.287181","Fatty Acid",NA,651470,4672374,3093170,5355254,3261388,715827,3326838,5580320,3820531,3084563,1139689,4964545,9109340,3218081,3455943,970402,3974120,8792583,5153506,3471121,1678755,9344619,8527364,4661945,4179093,1615212,8559867,8248351,3817592,3645769
"LN_002612","FA 20:3",305.2487955,"-1.0532","0.0172","[M-H]-","Eicosatrienoic acid|11,14,17-Eicosatrienoic acid|(Z,Z,Z)-Eicosa-11,14,17-trienoic acid","C20H34O2","306.255881","Fatty Acid",NA,446912,2213640,1916745,1040870,541102,547503,1768736,2644351,865369,636290,635015,1370039,2595195,383388,629391,481032,958701,2832392,745767,581052,490959,1601823,1743305,427346,730211,519401,1284551,1794213,484965,461119
"LN_002618","FA 20:5",301.2173687,"-0.7181","0.0062","[M-H]-","(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate|(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid|Eicosapentaenoic acid","C20H30O2","302.224581","Fatty Acid",NA,1100972,5289109,4513970,1847574,1000767,1411893,4113073,7067761,1817981,1372293,1424983,3622650,7451330,877571,1508435,1137233,2363707,7815443,1913706,1313474,1252064,3678882,4891187,841845,1721908,1388215,2995138,4829742,880023,1030531
"LN_003560","Erucic acid (FA 22:1)",337.3112377,"0.426","-0.0457","[M-H]-","(13Z)-Docosenoic acid|cis-13-Docosenoic acid|(Z)-Docos-13-enoic acid","C22H42O2","338.318481","Fatty Acid",NA,207323,991516,654371,1166096,1080327,233405,655239,1043809,871307,1075974,324245,880350,1341229,754650,990056,324127,671511,1441229,1053055,1144905,385603,1030531,1352733,917440,752753,447560,1248556,1204480,795821,989994
"LN_003716","FA 17:0",269.2487174,"-0.3215","-0.0066","[M-H]-","Heptadecanoic acid","C17H34O2","270.255881","Fatty Acid",NA,163481,1062548,802264,820300,621770,206065,819443,1349208,723968,641083,272457,1276934,2299982,647432,741899,275848,958105,2271066,937377,700082,523216,2234707,2222517,1087904,946103,496123,1950351,2129703,930559,839937
"LN_003908","Lignoceric acid (FA 24:0)",367.3575952,"-2.2533","-0.0305","[M-H]-","Tetracosanoic acid","C24H48O2","368.365431","Fatty Acid",NA,2041238,5267355,3587864,5714545,7126458,2508805,4755363,6669345,5709437,5496262,2717043,5493914,9161450,7927096,7328746,3125065,4962389,10875768,8487698,9586288,3512805,8910769,10583975,7465294,6647836,4225533,7384257,9614845,8962746,9410452
"LN_003914","Linoleic acid (FA 18:2)",279.2330932,"0.4449","0.0052","[M-H]-","(9Z,12Z)-Octadecadienoic acid|9-cis,12-cis-Octadecadienoate|9-cis,12-cis-Octadecadienoic acid|Linoleate|(Z,Z)-Octadeca-9,12-dienoic acid","C18H32O2","280.240231","Fatty Acid",NA,543190,2679575,2066053,1915532,957005,940965,2287080,3425397,1473517,1151107,698229,2220204,5213817,894811,1090847,623557,1494417,4922307,1889780,987454,756239,3932442,5027808,1225081,1216304,791304,2995121,3445443,876723,788211
"LN_004286","FA 19:0",297.28006,"0.2858","-0.0323","[M-H]-","Nonadecanoate|Nonadecanoic acid","C19H38O2","298.287181","Fatty Acid",NA,58529.22,256531,177509,295263,271554,63841.66,202490,303870,239159,234847,92886,362377,487433,271556,339552,88741,278330,542036,301626,318290,153903,548343,516990,472253,329419,141257,467053,562133,420400,399658
"LN_004316","Neoabietic acid (FA 18:1)",281.2487327,"0.2407","-0.0044","[M-H]-","(9Z)-Octadecenoic acid|(Z)-Octadec-9-enoic acid|Oleic acid|Oleate","C18H34O2","282.255881","Fatty Acid",NA,4465901,33948108,23633554,28182768,16331835,5749328,25640994,45252160,22045528,18839608,7384753,36306224,68656136,14642746,16500193,7212560,25142546,68561456,27434970,15543434,10817116,72873632,67349824,20135810,23315724,11446412,57209944,59162320,19551664,15565774
"LN_004328","Palmitoleic acid (FA 16:1)",253.217351,"0.2764","-0.0162","[M-H]-","(9Z)-Hexadecenoic acid|cis-9-Hexadecenoic acid|(Z)-Hexadec-9-enoic acid","C16H30O2","254.224581","Fatty Acid",NA,669156,499787,406928,309232,230066,786311,375651,705835,198384,277534,381734,460887,915765,189550,249481,573163,239662,797328,281333,201542,449907,994702,993838,426768,355097,492444,497777,597234,191547,229222
"LN_004694","FA 22:6",327.2329633,"-0.7875","0.0178","[M-H]-","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid|4,7,10,13,16,19-Docosahexaenoic acid|Docosahexaenoic acid|(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexa-4,7,10,13,16,19-enoic acid","C22H32O2","328.24023","Fatty Acid",NA,1228993,11520982,8925447,11893153,4385708,1572088,9314748,15340118,9257535,5782222,2264689,8236575,13767828,5221418,4409279,1898419,5393912,12963595,8609070,3600931,2343139,7463922,9258246,4772451,4341873,2632046,5948860,8257129,3703356,2388049
"LN_004742","FA 20:2",307.2643823,"-0.2626","0.0117","[M-H]-","(11Z,14Z)-Eicosa-11,14-dienoic acid|Eicosadienoic acid|11,14-Eicosadienoic acid|(Z,Z)-Eicosa-11,14-dienoic acid","C20H36O2","308.271531","Fatty Acid",NA,169347,1640973,1229372,1324077,500817,228793,1271973,1927552,1037649,618885,342110,1273771,2322255,700569,659872,294270,898609,2243454,1162869,562053,392436,1635205,1853079,861924,804552,427081,1391198,1641772,767357,534682
"LN_004838","Myristic acid (FA 14:0)",227.2012011,"-0.343","-0.0005","[M-H]-","Tetradecanoate|Tetradecanoic acid","C14H28O2","228.20893","Fatty Acid",NA,277033,261613,191314,283856,232579,154760,229153,310852,260838,219826,116407,321936,573970,288025,247475,120339,250553,637631,403384,254184,170299,824474,640793,372506,296153,181915,649901,561929,319230,216700
"LN_004922","Palmitic acid (FA 16:0)",255.2328401,"-0.1407","0.0014","[M-H]-","Hexadecanoic acid|Palmitate","C16H32O2","256.240231","Fatty Acid",NA,5188388,12014928,8522436,12317786,9350197,6827790,9297612,20211786,12903026,8852071,5392464,14345892,25147922,9547194,11251360,5460466,9903335,26844426,19760626,12694591,10118831,30335188,29032674,16842966,12294166,8563146,23633658,23812332,12097718,10384095
"LN_004958","Arachidic acid (FA 20:0)",311.2955761,"-0.3497","-0.0542","[M-H]-","Eicosanoic acid","C20H40O2","312.302831","Fatty Acid",NA,456826,1975069,1169165,2473854,754059.4,563797,746327.3,764558.4,1945082,1992576,790109,2413350,4215035,2115323,2686941,786932,2018562,4386511,2997248,3072008,1120961,3709251,4550982,3220975,2192899,1143820,3737892,4479980,2872858,769015.2
"LN_005041","Cer(d18:1/18:0)",624.5576168,"0.3535","-0.0232","[M+AcOH-H]-","N-stearoyl-D-erythro-sphingosine|N-(octadecanoyl)-sphing-4-enine|C18 Ceramide (d18:1/18:0)|N-(Octadecanoyl)-ceramide|N-(Stearoyl)-ceramide","C36H71NO3","565.543394","Ceramide",NA,15491846,27092468,15890106,36833200,59985160,13857377,14948907,31288258,34177544,50355816,18295544,33835112,23216196,39376592,55644640,14147826,31547092,21850204,35795588,44866956,23496406,52582540,30642284,37654684,46278660,16064714,36398680,23914844,36822224,47828248
"LN_005047","Cer(d18:1/18:1(9Z))",622.5415603,"-0.2534","-0.0462","[M+AcOH-H]-","C18:1 Cer|N-(9Z-Octadecenoyl)-ceramide|N-(Oleoyl)-ceramide|N-Oleoyl-sphingosine|N-(9Z-Octadecenoyl)-sphing-4-enine","C36H69NO3","563.527744","Ceramide",NA,2073948,3589256,2067400,6193282,10165182,2056796,1932443,4238979,4927375,7839441,2704718,7186254,3864913,5973517,9530580,2029312,6199145,3921811,6416263,9136295,3923875,13381488,6040422,8455842,9537678,2805392,11914361,4489069,7529137,9389792
"LN_005077","Cer(d18:1/16:0)",596.5267232,"0.6457","-0.0102","[M+AcOH-H]-","N-palmitoyl-D-erythro-sphingosine|N-(hexadecanoyl)-sphing-4-enine|C16 Ceramide (d18:1/16:0)|N-(Hexadecanoyl)-ceramide|N-(Palmitoyl)-ceramide|N-Palmitoyl-sphingosine|N-(Hexadecanoyl)-sphing-4-enine","C34H67NO3","537.512093","Ceramide",NA,58862532,95794464,66186040,150185328,221402049,60605064,62350740,120690624,120733120,180956688,83034032,141442016,107535864,144956656,185465712,62613856,127955176,98908824,144018464,192080721,93441552,213461552,130047768,141464976,182549264,77907528,186828816,112285048,141503152,203796641
"LN_14159","PG 35:1",761.5337421,NA,NA,"[M-H]-",NA,"C41H79O10P","762.541088","Phosphatidylglycerol","17:0/18:1 | 16:0/19:1",133881,310707,228463,423830,451000,149108,271740,473533,229585,322234,185420,194846,525736,229381,368883,115155,240465,505018,276480,481886,195307,120831,410188,405524,125028,179170,322042,353716,282576,396954
"LN_14826","PG 38:6",793.5032475,NA,NA,"[M-H]-",NA,"C44H75O10P","794.509788","Phosphatidylglycerol","16:0/22:6",287684,1097693,636608,1590543,1598250,309638,693263,1156381,847976,1635099,302021,869019,2738214,1190000,3318729,296378,962694,2611757,1738798,2955740,494574,1840335,4497665,5634196,1581907,377473,4260708,3438926,3966326,3964272
"LN_14862","PG 38:5",795.5185943,NA,NA,"[M-H]-",NA,"C44H77O10P","796.525438","Phosphatidylglycerol","16:0/22:5 | 18:1/20:4 | 18:2/20:3",183797,470340,294474,370160,802160,193992,455654,741080,297156,495233,199512,236499,1041722,423851,865606,168253,379487,1009867,570982,954833,263508,551118,1071785,1215061,258071,265888,1126056,1065041,817602,1267382
"LN_15402","PG 40:7",819.5198626,NA,NA,"[M-H]-",NA,"C46H77O10P","820.525438","Phosphatidylglycerol","18:2/22:5",108414,374567,272425,254480,255220,108104,253350,350726,141088,283644,136993,162164,422580,137697,339588,116488,164496,490299,204573,301360,117902,96039,308608,242086,95623,101058,214371,329635,215790,251998
"LN_15403","PG 40:7",819.5184007,NA,NA,"[M-H]-",NA,"C46H77O10P","820.525438","Phosphatidylglycerol","18:1/22:6",4333786,15363908,11029705,14640407,20854382,4481920,11824801,19868892,12767611,19194972,5601626,9640390,28422380,10068461,24351386,5239288,13540417,30290154,19000400,26945988,8150554,13391226,34020136,34466964,9835168,7670786,41177984,31611074,24126500,22874516
"LN_15492","PG 40:6",821.5356181,NA,NA,"[M-H]-",NA,"C46H79O10P","822.541088","Phosphatidylglycerol","18:1/22:5",308092,983065,622101,1117246,1705671,289479,807486,1327558,617788,1282195,352086,597635,2043657,812774,1368486,356786,670112,2242312,798861,1751198,436187,738222,2082493,1662720,493008,345598,1399312,1825973,1326711,2076945
"LN_15493","PG 40:6",821.5342288,NA,NA,"[M-H]-",NA,"C46H79O10P","822.541088","Phosphatidylglycerol","18:0/22:6 | 18:1/22:5",559156,2592312,1266889,2790124,3236752,555914,1303192,2484326,1463727,3308754,748403,1865866,5810115,2418373,5854533,630406,2060501,5843642,3325173,5143638,1236053,3054965,7041823,8063038,2373016,961074,7726722,7237472,5922659,6409199
"LN_15887","PG 42:11",839.4875689,NA,NA,"[M-H]-",NA,"C48H73O10P","840.494138","Phosphatidylglycerol","20:5/22:6",380288,1300468,917258,1093159,946257,359627,841498,1133514,616950,1056504,473995,593300,1411560,545413,1181096,447172,615498,1666534,860584,1134205,460134,315515,1041088,764968,329607,446616,753190,1064079,734285,902605
"LN_15953","PG 42:10",841.5028258,NA,NA,"[M-H]-",NA,"C48H75O10P","842.509788","Phosphatidylglycerol","20:4/22:6",1549243,3976802,3035707,3172634,2796188,1598869,3031564,3456497,1561789,3226552,1576276,1505171,3706282,1344735,3285946,1508493,1462812,4380490,2285352,3070521,970992,784264,2693018,2262023,851068,939927,1691771,2815698,1967470,2332740
"LN_16001","PG 42:9",843.5191957,NA,NA,"[M-H]-",NA,"C48H77O10P","844.525438","Phosphatidylglycerol","20:3/22:6 | 20:4/22:5",379963,900039,600761,623769,464265,355470,538357,652998,287618,523830,415537,306362,521388,239864,532985,371934,336766,670130,330311,555227,308472,237065,609085,591493,211792,243289,367766,553359,476472,573528
"LN_16002","PG 42:9",843.5180241,NA,NA,"[M-H]-",NA,"C48H77O10P","844.525438","Phosphatidylglycerol","20:3/22:6 | 20:4/22:5",77351,306167,296479,653537,704950,76194,457099,589917,422582,771209,212956,235224,626216,289268,515567,188992,158491,746798,232842,488493,144205,170541,560954,382894,195139,121551,313942,502126,443283,396752
"LN_16292","PI 36:4",857.5163183,NA,NA,"[M-H]-",NA,"C45H79O13P","858.525833","Phosphatidylinositol","16:0/20:4",824910,821602,435248,701270,623578,655482,613490,804015,679333,620583,697940,814124,499194,853799,572926,490344,742489,423451,809389,542720,760207,519667,493832,1014690,482000,508462,792618,417108,715567,511618
"LN_16363","PI 36:2",861.5506023,NA,NA,"[M-H]-",NA,"C45H83O13P","862.557133","Phosphatidylinositol","18:1/18:1 | 18:0/18:2",718960,183723.3,200114,244754,159222,572009,264401,280903,516883,221468,695243,505196,119305,443426,174511.1,403578,179339.7,129870,176093.6,177820,580854,336840,188188,166505,185374.6,497912,160910.5,152636.6,147418.1,248469
"LN_16395","PI 36:1",863.5657653,NA,NA,"[M-H]-",NA,"C45H85O13P","864.572783","Phosphatidylinositol","18:0/18:1",793885,149390,89876,162575,207352,98443.4,220079,243764,418872,114242,646779,422814,88775,694629,123763,497437,559818,94931,311677,160581,935003,638662,139284,272998,771912,746366,229806,103523,239565,206966
"LN_16499","PG 44:11",867.5196519,NA,NA,"[M-H]-",NA,"C50H77O10P","868.525438","Phosphatidylglycerol","22:5/22:6",3386818,18402122,13125270,18234932,16205826,3642557,11493050,16191108,9286773,19632708,5246172,9585078,24860410,9115947,21910884,5005968,9277791,29032850,14663076,19123184,5792358,5028756,17115014,13701038,6011609,5140334,12400850,17425392,13217860,13277642
"LN_16500","PG 44:11",867.5188789,NA,NA,"[M-H]-",NA,"C50H77O10P","868.525438","Phosphatidylglycerol","22:5/22:6",449071,2564776,1812340,2636285,2549987,489258,1769757,2463199,1526912,2840419,773589,1533548,4425894,1502229,3574888,731644,1366950,4548968,2340052,3112204,811492,868929,3296638,2664120,1125131,795300,2065796,3374460,2582718,2394794
"LN_16547","PG 44:10",869.5353269,NA,NA,"[M-H]-",NA,"C50H79O10P","870.541088","Phosphatidylglycerol","22:5/22:5",336263,1318338,911641,1020688,875754,383398,893250,1133573,522245,997774,471175,569855,1332782,504350,1219333,461317,540770,1555288,740318,1000254,413661,260520,789201,288787.3,295613,381634,683377,885390,242765.3,725114
"LN_16548","PG 44:10",869.5338571,NA,NA,"[M-H]-",NA,"C50H79O10P","870.541088","Phosphatidylglycerol","22:4/22:6 | 22:5/22:5",1794614,6300034,6155176,8180802,7540442,1896243,6536886,8753102,4947890,9520357,4092356,4490268,11816556,4166988,8259731,3637041,3477991,12813650,4873662,8240320,3114282,2587641,9972226,7972022,3144088,3119635,5759920,9631360,7105871,5833693
"LN_16587","PI 37:4",871.5322036,NA,NA,"[M-H]-",NA,"C46H81O13P","872.541483","Phosphatidylinositol","17:0/20:4",407365,366099,210887,281518,245608,344029,278161,358191,315318,238526,331141,380926,201592,345393,205891,236509,374577,204174,311532,216966,408828,207943,198204,257037,176027,296633,274218,177914,225118,170225
"LN_16761","PI 38:5",883.5351718,NA,NA,"[M-H]-",NA,"C47H81O13P","884.541483","Phosphatidylinositol","18:1/20:4",1005106,1501779,844401,1556717,1297142,755006,943441,1311944,1228415,1286585,918821,1299986,1245856,1482571,1354168,638241,1399492,1114639,1799333,1374412,1021384,611155,1072625,2014834,566602,762277,1326845,1012235,1357653,1182449
"LN_16787","PI 38:4",885.5510403,NA,NA,"[M-H]-",NA,"C47H83O13P","886.557133","Phosphatidylinositol","18:1/20:3",61006.47,94539,52697.89,125123,85556,45603.64,67439.72,94417,111532,101964,79197,171324,98399,141292,137308,52601.27,153555,85896,172300,115191,140706,111758,122270,250814,96309,101952,176110,105547,174253,107109
"LN_16788","PI 38:4",885.5501094,NA,NA,"[M-H]-",NA,"C47H83O13P","886.557133","Phosphatidylinositol","18:0/20:4",23001704,14503969,9275543,10484739,7958096,18527754,11372962,12918380,14534850,9860276,18627346,16677296,6359112,13838985,8325380,13523922,15084254,6141672,12067814,7981511,18529804,8866080,7193826,11232442,8966059,16939424,10806149,6095019,8358992,5756371
"LN_16818","PI 38:3",887.5656172,NA,NA,"[M-H]-",NA,"C47H85O13P","888.572783","Phosphatidylinositol","18:0/20:3",1687250,754478,478177,586197,688998,1364457,760561,949307,1131520,469303,1767979,1342354,393041,1278271,432617,1307072,1505396,428281,730138,572202,2339382,1162255,484327,776192,974367,1889894,826657,451714,594054,544706
"LN_16819","PI 38:3",887.5636585,NA,NA,"[M-H]-",NA,"C47H85O13P","888.572783","Phosphatidylinositol","18:0/20:3",516835,259873,115984,193820,198933,444524,166014,216069,368959,172501,509759,454979,119769,417472,151261,361960,581470,115852,317593,176853,746218,455681,176795,300314,503665,650670,324608,117477,215752,161101
"LN_17077","PI 40:7",907.5349908,NA,NA,"[M-H]-",NA,"C49H81O13P","908.541483","Phosphatidylinositol","18:1/22:6",47052.84,142345,61750,193774,225515,38328.4,88369,134849,157369,193714,78202,245907,265139,265738,295866,56272.62,254963,217668,267132,312082,190791,203078,312576,576582,158888,122748,389321,254256,327450,336336
"LN_17105","PI 40:6",909.5504813,NA,NA,"[M-H]-",NA,"C49H83O13P","910.557133","Phosphatidylinositol","18:1/22:5",101584,209584,107111,243523,259712,76052,125076,234407,216099,261202,159413,286668,275547,328714,303136,109254,312241,244028,335022,301434,272531,202441,269233,519104,183170,191797,402966,233826,308599,283299
"LN_17106","PI 40:6",909.5499401,NA,NA,"[M-H]-",NA,"C49H83O13P","910.557133","Phosphatidylinositol","18:0/22:6",940231,1321924,576573,1589937,1299378,698680,783277,1258885,1647790,1474221,1202462,2703997,1523582,2599227,2031173,840429,2613325,1474552,2278144,1705402,2547893,2053141,1749926,3335234,2007509,1773558,2848460,1509243,2252894,1854594
"LN_17124","PI 40:5",911.5654853,NA,NA,"[M-H]-",NA,"C49H85O13P","912.572783","Phosphatidylinositol","18:0/22:5",1661526,1690670,880880,1635826,1181601,1397936,1147544,1449348,1983054,1348669,2164326,2857679,1325982,2447854,1766514,1363522,2696833,1145260,2144636,1536074,3208963,1833961,1397708,2457136,1908998,2577179,2176982,1268304,1687322,1168611
"LN_17146","PI 40:4",913.5814867,NA,NA,"[M-H]-",NA,"C49H87O13P","914.588433","Phosphatidylinositol","18:0/22:4",1455260,643949,402245,509975,331577,1057238,488343,556663,847958,407761,1330969,1083901,382940,946836,457306,1004623,1135490,331420,725244,418171,1809947,815627,393112,629063,772864,1483587,639454,342639,470087,372548
"LP_000433","LysoPC 18:1",522.3546658,"-0.9366","-0.0193","[M+H]+",NA,"C26H52NO7P","521.34814","Lyso Phosphatidylcholine",NA,1191511,5530991,4092887,6116568,8045514,1156722,4007385,5543699,4253365,7911648,1957079,4931819,11140035,7927125,16815560,1696439,4671251,10423095,9159693,12924534,2448628,9887905,15839870,24066852,10252920,1863597,16972344,12816445,19130784,16823944
"LP_000466","LysoPE 18:1",480.3079938,"-0.1212","-0.0111","[M+H]+",NA,"C23H46NO7P","479.30119","Lyso Phosphatidylethanolamine",NA,123251,320159,209295,151906,252527,134538,206509,414806,81256,268308,182883,346572,656309,143533,466819,122859,292039,659673,221954,448074,334153,533596,953674,632002,250509,282200,1179877,871059,446760,806096
"LP_000763","PC 32:1",732.5510607,"0.0501 | -3.6929","-0.0027 | -0.0246","[M+H]+",NA,"C40H78NO8P","731.546506","Phosphatidylcholine","16:0/16:1",50514032,148167312,101528128,136427120,164222928,55523320,134854016,178252016,134211344,141397584,89101664,135564304,195590193,155583280,187770544,78281840,125778672,218427120,136337104,193342544,90926928,96010480,176317169,134446096,114579792,94102480,124558192,176511343,139663824,129182800
"LP_000796","PC 34:2",758.5672014,"-1.3942 | -2.9405","-0.0021 | -0.0171","[M+H]+",NA,"C42H80NO8P","757.562156","Phosphatidylcholine","16:0/18:2 | 16:1/18:1",58257876,163469936,136711840,217636272,271954625,56567176,151545776,200527488,159385888,229836977,90113040,162240064,266001760,190174064,235959056,86830952,145758464,278232576,204921840,241269360,106038792,191030992,237313200,211092320,144147536,95591320,206414512,232259905,193847537,245819167
"LP_000807","PC 34:3",756.5516152,"-0.7333","0.0067","[M+H]+",NA,"C42H78NO8P","755.546506","Phosphatidylcholine","16:1/18:2 | 16:2/18:1 | 16:0/18:3 | 14:0/20:3",2102698,6324452,4804038,6883814,6475984,2404122,5125584,6583808,5134075,7260552,3426778,5647640,8432942,5621551,6413560,3590258,4186442,8512156,5283058,6468994,2972813,6026058,6824836,6489622,4640056,3621146,6036088,7383286,4580860,4978378
