"Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_24D","R2_24D","R3_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R5_72M","R6_72M"
"LP_25837","PC 36:0",790.6303403,NA,NA,"[M+H]+",NA,"C44H88NO8P","789.624757","Phosphatidylcholine","18:0/18:0 | 16:0/20:0",2626562,12193399,9151123,15431220,22018120,2943126,11995332,17499950,13205636,20844936,5633650,12591680,24634758,16115597,24143496,5268437,10759276,29029924,15602480,27642668,7502940,16272062,24422860,23986960,15524553,6246278,20086024,25914778,24484652,31188298
"LP_25969","PC 37:6",792.5513579,NA,NA,"[M+H]+",NA,"C45H78NO8P","791.546507","Phosphatidylcholine","17:1/20:5",220330,1228908,956542,1732715,2396426,257919,983286,1825140,1253113,1778407,382385,952192,1842783,1178613,1588245,320078,822480,1955178,1446266,1617891,501889,1035472,1536414,1486944,856106,457159,1265155,1394441,1321540,353428.6
"LP_25971","PC 37:6",792.5514374,NA,NA,"[M+H]+",NA,"C45H78NO8P","791.546507","Phosphatidylcholine","15:0/22:6 | 17:1/20:5",354032,1260636,919595,1676852,2029248,428469,920194,1526314,1080452,1564447,373732,932985,1625494,1156300,1899216,405833,845257,1427399,1816190,1675682,431544,1203716,1666969,1840985,1144781,358696,1510116,1436887,1697817,544554.2
"LP_25975","PE 40:6",792.5515256,NA,NA,"[M+H]+",NA,"C45H78NO8P","791.546507","Phosphatidylethanolamine","18:0/22:6",16862476,26633450,22669782,32238860,33806184,14935120,27454696,32540820,25579188,29573006,22175884,24092204,35067392,31020428,34065224,18366616,23409466,33859576,29241912,33011840,24471298,21874900,34121032,37108676,16858862,19827816,30944556,32684120,28948252,38335024
"LP_26011","TAG 46:2",792.7061511,NA,NA,"[M+NH4]+",NA,"C49H90O6","774.67374","Triacylglyceride","14:0/16:1/16:1 | 14:0/14:0/18:2 | 12:0/16:1/18:1 | 12:0/16:0/18:2 | 14:1/16:0/16:1 | 14:0/14:1/18:1",84055,344071,214802,391381,612122,79825,304972,490179,450615,652702,136140,133084,159577,193335,236357,131279,120914,197787,200940,304303,91087,107907,121031,137728,172395,82104,81462,122981,79901,225163
"LP_26112","PC 37:5",794.5680774,NA,NA,"[M+H]+",NA,"C45H80NO8P","793.562157","Phosphatidylcholine","17:1/20:4 | 17:0/20:5",2012382,4177512,4702394,4971161,5652904,2416108,5864498,6512826,4768903,3909664,2003322,1902252,3195763,3174356,3565978,1876598,1717047,3943388,2854743,3804756,1255658,2063946,3020034,2930129,2276056,1449700,2551069,2602933,3063266,2943334
"LP_26113","PC 37:5",794.5655155,NA,NA,"[M+H]+",NA,"C45H80NO8P","793.562157","Phosphatidylcholine","17:0/20:5",249416,2162365,1248421,3261683,4858358,274866.9,2272691,3583721,2186885,3125317,1029138,3522784,5272246,3123643,3336968,1117921,3073424,5606281,3263464,3442831,2023342,2687078,4049272,1955410,1781388,1978378,2935712,3732675,2393302,3245182
"LP_26119","PE 40:5",794.5673536,NA,NA,"[M+H]+",NA,"C45H80NO8P","793.562157","Phosphatidylethanolamine","18:0/22:5",9060270,14824722,13179906,15106262,16718829,8930930,17146242,18838122,12899809,14313480,12413491,11313091,16055994,15178074,15141360,10520815,11773772,16877372,13351698,14972594,12000707,9698333,14492907,14199956,7106352,10754877,11557888,14384972,12418091,15841597
"LP_26231","PC 37:4",796.5823678,NA,NA,"[M+H]+",NA,"C45H82NO8P","795.577807","Phosphatidylcholine","17:1/20:3 | 15:0/22:4",470022,1718240,1189893,2108508,2483962,484347,1327652,1709966,1434098,2167049,610750,1327723,2001255,1290700,2060040,519871,1069355,2011088,1630358,2023054,610724,1203843,1600265,1184539,1075006,689500,1250739,1138036,1350238,1629981
"LP_26233","PC 37:4",796.5827615,NA,NA,"[M+H]+",NA,"C45H82NO8P","795.577807","Phosphatidylcholine","17:0/20:4 | 17:1/20:3",14529074,30469598,27870718,28443456,30372460,15261230,30197792,34945472,21817450,26539276,18128324,21920928,31338916,19368574,28122636,17740022,20501616,34020296,24291080,28184156,14423915,16964696,24353480,18639422,14459314,14117238,18579830,23069100,18230500,22791158
"LP_26236","PE 40:4",796.5817487,NA,NA,"[M+H]+",NA,"C45H82NO8P","795.577807","Phosphatidylethanolamine","18:0/22:4",7074302,6673249,8364746,6203034,7369615,5873695,9798960,8086215,5431623,5625268,9159526,5529604,8159458,6486766,6118862,7979072,4388171,7249304,5805966,6178599,6306303,2939501,6922694,6484908,2512610,6163170,4286902,6046185,4904190,6054560
"LP_26370","PC 37:3",798.6000812,NA,NA,"[M+H]+",NA,"C45H84NO8P","797.593457","Phosphatidylcholine","16:0/21:3 | 17:0/20:3 | 18:1/19:2",2222518,5432822,5053994,7496706,8211804,2265379,5312127,7428794,4776510,5412944,2818830,4524702,6952808,4569590,5547710,3103968,3218433,6434579,5402212,6378874,2452700,3377237,5179300,3394346,2542839,2730615,4152143,5043006,4318894,4175993
"LP_26384","GlcCer(d18:1/23:0)",798.6802225,NA,NA,"[M+H]+",NA,"C47H91NO8","797.674469","Ceramide",NA,522254,192806,541668,278829,512590,618429,888486,564456,738646,210459,613668,210562,107870,573586,89144,614547,219559,77364,171442,214003,516284,73434,163434,96529,424063,560568,43537.52,70762.58,73599,240606
"LP_26479","PC 37:2",800.614153,NA,NA,"[M+H]+",NA,"C45H86NO8P","799.609107","Phosphatidylcholine","18:1/19:1 | 17:1/20:1 | 18:0/19:2 | 17:0/20:2 | 16:0/21:2",3422981,17700400,11662548,27249424,32945762,3524411,13339619,20568396,18314912,25367076,6921226,23778128,38304104,26999740,39496480,7024176,20102402,36761348,30164840,39959680,11314530,29046250,42840800,39069440,25336886,9805587,35035716,38596520,37568984,46234432
"LP_26548","SM 41:1",801.6842333,NA,NA,"[M+H]+",NA,"C46H93N2O6P","800.677126","Sphyngomyelin",NA,215025,682249,359302,759457,1002363,224680,623246,918202,484054,804918,404716,385500,952818,417920,859335,300491,402739,1113786,371781,849450,384835,514432,958028,599595,145963,301377,847080,878109,605431,1038800
"LP_26549","SM 41:1",801.6822988,NA,NA,"[M+H]+",NA,"C46H93N2O6P","800.677126","Sphyngomyelin",NA,1679990,3383306,3355249,3261574,3720970,2105634,3968983,4686340,3109752,2962204,2715967,2693857,4375220,3236830,3495562,2546620,2937809,4632640,2557386,4245066,3088458,1907506,5631608,3890550,2837746,2628948,2572910,4122262,3483604,4764536
"LP_26605","PC 37:1",802.630742,NA,NA,"[M+H]+",NA,"C45H88NO8P","801.624757","Phosphatidylcholine","18:0/19:1 | 18:1/19:0 | 16:0/21:1 | 17:0/20:1",938725,5078853,3709480,7018363,10979671,1121686,4380750,7215675,5914027,8237339,1986200,5630688,9974792,6269252,9987962,1966775,4162113,9779470,7277077,10373492,2321661,5641438,8444952,6094184,4058196,2192802,6245394,8001136,5414352,7789090
"LP_26669","PC 38:7",804.5513136,NA,NA,"[M+H]+",NA,"C46H78NO8P","803.546507","Phosphatidylcholine","18:2/20:5 | 18:3/20:4",198535,959834,942031,1586240,1306831,170723,948911,1189919,777776,929757,223749,845062,1125489,927570,180069.3,196166,493528,1114648,893878,212137.5,155928,189462,948436,190555,167074.1,203961,231408,504254,256223,318970
"LP_26670","PC 38:7",804.5513864,NA,NA,"[M+H]+",NA,"C46H78NO8P","803.546507","Phosphatidylcholine","16:1/22:6 | 18:2/20:5 | 18:3/20:4 | 16:2/22:5",142595,561630,656608,1853229,1673615,118430,699131,672882,1028472,1524046,273696,923678,2209574,1895864,2018277,273412,597790,1877835,2024179,2315376,273514,1694761,2149232,3273026,1922606,289394,1813238,2077846,2297123,2692251
"LP_26832","PC 38:6",806.5683235,NA,NA,"[M+H]+",NA,"C46H80NO8P","805.562157","Phosphatidylcholine","16:1/22:5 | 18:2/20:4",98039,1299080,976714,2264703,3087586,126036,916880,1640728,1128596,2432212,330608,1061394,2700066,1643033,2635536,190536,486940,2986112,1995004,2650412,255672,1068091,2026455,2406294,1086098,150314,1505475,1667034,2122118,2688154
"LP_26833","PC 38:6",806.5662169,NA,NA,"[M+H]+",NA,"C46H80NO8P","805.562157","Phosphatidylcholine","18:1/20:5 | 18:2/20:4",4316239,22112808,17223948,22124776,29252100,4837813,19270484,28850572,21118076,24566160,7758242,18564600,25773040,16931624,26720708,7236058,17728260,28288304,26127320,29115816,9563628,19280512,27215196,20689528,16985932,8441016,21732684,24567760,22078764,27050112
"LP_26834","PC 38:6",806.5664387,NA,NA,"[M+H]+",NA,"C46H80NO8P","805.562157","Phosphatidylcholine","16:0/22:6 | 18:1/20:5",19779024,56470760,45421736,69009840,77721168,23308968,50141048,71650424,60380824,74853192,24731606,50271984,76254256,75293776,103253040,25792772,50960328,79190160,90476576,100863640,26984108,80051936,94960216,114666544,84118536,27530564,98964592,85400512,103146432,106889208
